Server,Defense,Average Duration (s),Average Bandwidth (MiB),Average Sent Bandwidth (MiB),Average Received Bandwidth (MiB),Average Number Sent,Average Number Received,DF Accuracy,RF Accuracy
nl-ams-wg-002,Daita,27.18,4.29,1.75,2.54,1368,722,0.39,0.52
nl-ams-wg-002,Undefended,23.89,1.1,0.07,1.03,521,158,0.69,0.72
se-got-wg-001,Daita,28.38,4.69,1.7,2.99,1327,883,0.4,0.44
se-got-wg-001,Undefended,23.29,1.15,0.07,1.07,514,211,0.49,0.66
us-nyc-wg-601,Daita,29.37,4.8,1.6,3.21,1249,1005,0.45,0.56
us-nyc-wg-601,Undefended,26.76,1.53,0.11,1.42,760,238,0.58,0.6
