Server,Defense,Average Duration (s),Average Bandwidth (MiB),Average Sent Bandwidth (MiB),Average Received Bandwidth (MiB),DF Accuracy,RF Accuracy
se-got-wg-001,Daita,25.36,5.58,3.12,2.47,0,0
se-got-wg-001,Undefended,22.21,0.95,0.07,0.88,0,0
